feature,importance
water_area_km2,4063.6809252332296
water_area_pct_change,383.48927779660477
water_area_change,102.58244861180172
precipitation,2.6622749704274735
humidity,0.9952365104009345
wind_speed,0.5000539363333624
day_of_year,0.4155015591023212
soil_3day_avg,0.20672746547101725
pressure,0.1644857467304824
evaporation,0.1468741543392237
precip_7day_avg,0.002937474292448757
soil_moisture,0.0006993867367698544
is_missing_precipitation,0.0006917584252311518
precip_3day_avg,0.0006844656164082573
temperature,0.00039656789401880003
temp_3day_avg,0.00033284110923635185
month,4.1309333028038964e-05
year,3.4617667528843064e-11
is_monsoon,0.0
avg_elevation_m,0.0
