feature,mean_abs_shap
water_area_km2_lag14,2.0361252667767626
water_area_km2_lag1,0.6238079785478715
water_area_km2_lag1_zscore,0.3480469106029617
water_area_km2_lag14_zscore,0.33100592625631503
water_area_km2_lag2,0.32076134301359005
water_area_km2_lag7,0.2736815699084865
water_area_km2_lag2_zscore,0.16186247560605904
water_area_km2_lag7_zscore,0.15210049276664336
water_area_km2_lag5_zscore,0.14685083304370963
month,0.1320686759082168
water_area_km2_lag3,0.1220069669689222
precipitation_zscore,0.07848402763202265
pressure,0.07429354399505303
temperature_zscore,0.0739145837826249
precipitation_lag3,0.07069581657500837
water_area_km2_lag3_zscore,0.07018553272333734
pressure_drop_1day,0.059790582258217484
water_area_km2_lag5,0.04457058632426395
soil_moisture_zscore,0.04402419891381119
soil_moisture_change_3day,0.04339555612070059
pressure_lag1,0.04334760832313968
soil_moisture_lag3,0.03601574532407043
precip_change_1day,0.03125013122593485
temperature_7day_avg,0.0309460769689816
wind_speed,0.030160498900999033
humidity_lag2,0.029579692039779937
humidity_lag1,0.028273499632232184
precipitation_lag5,0.0280509805985039
temperature,0.021940703835211777
soil_moisture_lag1,0.018632955828008335
humidity,0.01762059364412646
precipitation_lag2,0.016837318434441566
precipitation_lag1,0.016234691683122113
pressure_low_x_humidity_high,0.014628993485657568
precipitation_30day_sum,0.013846721204016118
soil_moisture_lag2,0.013017849297746575
precipitation_14day_sum,0.012640449534165375
days_in_monsoon,0.012410022363216871
precipitation_lag7,0.01193954108101347
pressure_zscore,0.010587719670945035
avg_elevation_m,0.009816871281413501
precipitation_3day_sum,0.009697106724577468
evaporation,0.00949199410223267
precipitation_7day_sum,0.009344475322333765
precip_x_soil_moisture,0.008112530633852514
precipitation,0.007567742142437949
soil_moisture,0.005797216630218322
precip_7day_x_monsoon,0.003836466688529255
soil_moisture_7day_avg,0.003624558073437673
days_since_dry_day,0.002852133940650296
days_since_heavy_rain,9.127255781681111e-05
is_monsoon,0.0
is_missing_precipitation,0.0
